sid,nid,size,dilated_size
1,1,309,673
1,2,528,933
1,3,286,389
1,4,221,391
1,5,772,1472
1,6,548,1070
1,7,213,462
1,8,1380,2427
1,9,795,1366
1,10,416,958
1,11,1000,1763
1,12,1221,2114
1,13,424,1095
1,14,576,1219
1,15,372,689
1,16,207,344
1,17,944,1729
1,18,172,437
1,19,541,1261
1,20,597,931
1,21,1238,2397
1,22,592,1097
1,23,827,1546
1,24,265,430
1,25,550,1080
1,26,268,390
1,27,353,761
1,28,786,1476
1,29,268,471
1,30,276,461
1,31,187,430
1,32,465,800
1,33,587,1250
1,34,486,968
1,35,395,799
1,36,654,1488
1,37,719,1489
1,38,820,1492
1,39,313,592
1,40,709,1214
1,41,97,163
1,42,1231,2125
1,43,351,702
1,44,615,1051
1,45,349,636
1,46,140,260
1,47,315,698
1,48,803,1601
1,49,233,532
1,50,237,621
1,51,283,569
1,52,381,992
1,53,371,744
1,54,297,573
1,55,471,1185
1,56,458,974
1,57,504,1227
1,58,216,559
1,59,272,549
1,60,504,1041
1,61,278,594
1,62,229,492
1,63,247,532
1,64,616,1222
1,65,411,885
1,66,1165,2402
1,67,389,792
1,68,200,477
1,69,521,1241
1,70,567,1335
1,71,696,1353
1,72,639,1441
1,73,638,1400
1,74,14,60
1,75,825,1711
1,76,337,669
1,77,776,1421
1,78,230,673
1,79,647,1236
1,80,826,1637
1,81,1024,1629
1,82,416,834
1,83,101,280
1,84,44,110
1,85,273,677
1,86,638,1025
1,87,128,154
1,88,539,995
1,89,360,644
1,90,452,1051
1,91,1313,2436
1,92,1142,2313
1,93,452,1180
1,94,976,1962
1,95,786,1399
1,96,681,1191
1,97,767,1351
1,98,511,931
1,99,436,813
1,100,489,1131
1,101,293,657
1,102,255,425
1,103,579,1439
1,104,385,806
1,105,246,479
1,106,104,199
1,107,180,278
1,108,520,869
1,109,702,1328
1,110,332,643
1,111,149,418
1,112,292,597
1,113,879,1280
1,114,640,1380
1,115,439,859
1,116,947,1913
1,117,175,414
1,118,489,1087
1,119,731,1271
1,120,410,817
1,121,746,1750
1,122,639,995
1,123,191,365
1,124,1290,2003
1,125,221,568
1,126,1743,2530
1,127,609,1317
1,128,315,602
1,129,929,1728
1,130,294,767
1,131,97,247
1,132,389,1078
1,133,566,885
1,134,195,302
1,135,2305,3816
1,136,661,1070
1,137,326,863
1,138,1706,3333
1,139,259,442
1,140,641,1537
1,141,173,321
1,142,394,845
1,143,778,1510
1,144,187,474
1,145,236,487
1,146,648,1290
1,147,427,944
1,148,583,1179
1,149,916,1826
1,150,457,1109
1,151,405,939
1,152,1329,1936
1,153,93,181
1,154,16,38
1,155,12,54
1,156,11,26
1,157,139,345
1,158,348,877
1,159,529,1257
1,160,311,670
1,161,428,883
1,162,804,1535
1,163,911,2032
1,164,428,893
1,165,330,700
1,166,1006,1507
2,1,179,347
2,2,473,941
2,3,177,460
2,4,214,520
2,5,200,496
2,6,1347,2343
2,7,290,565
2,8,486,802
2,9,326,624
2,10,286,878
2,11,981,2017
2,12,527,1152
2,13,962,1536
2,14,748,1624
2,15,570,1158
2,16,471,890
