sid,nid,size,dilated_size
1,1,2781,5992
1,2,4708,8202
1,3,2618,3608
1,4,1998,3556
1,5,6917,12942
1,6,4899,9433
1,7,1876,3910
1,8,12420,21421
1,9,7269,12264
1,10,3744,8448
1,11,8982,15701
1,12,10995,18915
1,13,3771,9501
1,14,5175,10893
1,15,3297,6064
1,16,1861,2906
1,17,8552,15690
1,18,1548,3800
1,19,4869,11047
1,20,5372,8289
1,21,11129,21461
1,22,5280,9722
1,23,7392,13603
1,24,2364,3678
1,25,4947,9598
1,26,2359,3458
1,27,3222,6816
1,28,6951,13015
1,29,2405,4228
1,30,2544,4155
1,31,1625,3713
1,32,4167,7074
1,33,5341,11137
1,34,4412,8678
1,35,3591,7044
1,36,5886,13072
1,37,6471,13183
1,38,7459,13313
1,39,2745,5161
1,40,6302,10751
1,41,925,1477
1,42,11006,18909
1,43,3162,6202
1,44,5597,9357
1,45,3159,5638
1,46,1203,2266
1,47,2898,6280
1,48,7159,14076
1,49,2010,4560
1,50,2122,5439
1,51,2496,5005
1,52,3372,8621
1,53,3270,6498
1,54,2718,5205
1,55,4239,10433
1,56,4080,8554
1,57,4536,10847
1,58,1963,4975
1,59,2478,4934
1,60,4581,9150
1,61,2523,5370
1,62,1989,4267
1,63,2204,4610
1,64,5400,10667
1,65,3704,7863
1,66,10446,21203
1,67,3591,7066
1,68,1867,4241
1,69,4716,10973
1,70,5103,11669
1,71,6289,12169
1,72,5733,12672
1,73,5701,12235
1,74,167,576
1,75,7362,15093
1,76,3072,5860
1,77,6998,12696
1,78,2070,5878
1,79,5801,11101
1,80,7434,14410
1,81,9193,14430
1,82,3700,7365
1,83,849,2484
1,84,375,936
1,85,2442,5837
1,86,5730,9079
1,87,1161,1377
1,88,4820,8746
1,89,3215,5742
1,90,4008,9239
1,91,11804,21657
1,92,10238,20568
1,93,4068,10378
1,94,8784,17358
1,95,7064,12385
1,96,6084,10460
1,97,6930,11947
1,98,4572,8149
1,99,3970,7356
1,100,4378,10119
1,101,2628,5815
1,102,2301,3789
1,103,5211,12781
1,104,3384,6972
1,105,2176,4088
1,106,992,1762
1,107,1592,2454
1,108,4692,7779
1,109,6376,11793
1,110,2934,5576
1,111,1404,3724
1,112,2610,5244
1,113,7907,11385
1,114,5700,12184
1,115,3951,7598
1,116,8455,17057
1,117,1631,3691
1,118,4464,9742
1,119,6479,11114
1,120,3637,7179
1,121,6690,15414
1,122,5734,8786
1,123,1692,3259
1,124,11582,17798
1,125,2006,4941
1,126,15597,22574
1,127,5331,11393
1,128,2877,5354
1,129,8186,15157
1,130,2631,6666
1,131,873,2198
1,132,3492,9461
1,133,5016,7812
1,134,1679,2606
1,135,20745,34061
1,136,5932,9625
1,137,2934,7594
1,138,15354,29559
1,139,2317,3713
1,140,5751,13587
1,141,1574,2777
1,142,3471,7292
1,143,7011,13469
1,144,1725,4198
1,145,2163,4441
1,146,5833,11550
1,147,3843,8325
1,148,5246,10430
1,149,8070,16022
1,150,4020,9620
1,151,3589,8203
1,152,11942,17481
1,153,798,1536
1,154,148,178
1,155,127,496
1,156,73,204
1,157,1331,3103
1,158,3132,7784
1,159,4761,11053
1,160,2793,5822
1,161,3842,7891
1,162,7143,13457
1,163,8185,18030
1,164,3816,7920
1,165,2907,6124
1,166,8968,13461
2,1,1611,3040
2,2,4143,8212
2,3,1647,4098
2,4,1883,4502
2,5,1843,4481
2,6,12058,20650
2,7,2648,5096
2,8,4341,7188
2,9,2942,5492
2,10,2538,7618
2,11,8857,18196
2,12,4743,10105
2,13,8676,13655
2,14,6732,14446
2,15,5103,10178
2,16,4149,7872
2,17,4287,6509
2,18,9162,16489
2,19,2962,5958
2,20,5658,9244
2,21,8337,18103
2,22,3878,7782
2,23,2487,6099
2,24,8199,15956
2,25,5596,11623
2,26,6621,14298
2,27,4869,10145
2,28,8300,13104
2,29,3825,8558
2,30,3798,9631
2,31,3084,7222
2,32,2247,4503
2,33,2658,5600
2,34,5114,10666
2,35,3233,6237
2,36,3172,7938
2,37,2478,4797
2,38,1503,3888
2,39,1152,3090
2,40,6297,11307
2,41,5334,8660
2,42,3096,7939
