sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
1	84	7434	14410	0.25575	20x	dw	a647	11	320.953	49.99100000000001	55.138999999999996	64.684	1.225	131.287	43.313	0	44.147016271297204	252.918866080156
1	105	7011	15115	0.25575	20x	dw	a647	38	414.19800000000004	124.273	54.872	44.278999999999996	1.321	95.345	33.723	0	61.8354686265127	173.133919843597
1	7	8570	15948	0.25575	20x	dw	a647	0	80.611	256.97700000000003	54.94	43.324	1.364	22.159000000000002	-1.0	0	13.6209829981463	169.399804496579
1	121	2886	5255	0.25575	20x	dw	a647	0	517.9	383.024	49.818000000000005	40.885999999999996	1.4180000000000001	192.486	-1.0	0	135.620984941559	159.867057673509
1	94	3970	7457	0.25575	20x	dw	a647	8	403.852	19.771	56.06399999999999	37.71	1.4909999999999999	4.22	31.201	0	4.7227718217074806	147.448680351906
1	7	8570	15948	0.25575	20x	dw	a647	69	56.765	249.688	54.8	36.369	1.31	15.665999999999999	28.13	0	17.26959261765	142.20527859237498
1	111	5754	12212	0.25575	20x	dw	a647	124	442.779	601.804	50.988	35.059	1.31	95.84299999999999	29.281999999999996	0	23.129444378267102	137.08308895405702
1	6	4677	8732	0.25575	20x	dw	a647	69	49.141999999999996	255.636	51.908	29.758000000000003	1.268	6.392	20.799	0	7.19027381256201	116.355816226784
1	111	5754	12212	0.25575	20x	dw	a647	0	430.37199999999996	591.378	54.023999999999994	29.744	1.321	66.67	-1.0	0	16.2549605895287	116.301075268817
1	94	3970	7457	0.25575	20x	dw	a647	0	403.25800000000004	15.999	57.037	29.369	1.2670000000000001	20.578000000000003	-1.0	0	17.2860543310898	114.834799608993
1	89	10436	20499	0.25575	20x	dw	a647	0	363.344	184.43599999999998	52.88399999999999	28.750999999999998	1.2570000000000001	18.41	-1.0	0	12.066330046646	112.41837732160299
1	18	11165	21464	0.25575	20x	dw	a647	13	77.031	60.762	55.048	28.605999999999998	1.3319999999999999	59.606	21.805999999999997	0	31.9889389866116	111.85141739980499
1	94	3970	7457	0.25575	20x	dw	a647	0	403.222	16.795	53.988	28.548000000000002	1.901	252.63	-1.0	0	27.1037442945012	111.624633431085
1	59	4563	10818	0.25575	20x	dw	a647	103	219.047	408.064	54.027	28.281999999999996	1.278	12.545	21.469	0	9.974674367346491	110.58455522971701
1	84	7434	14410	0.25575	20x	dw	a647	0	307.325	51.31	54.036	27.799	1.31	33.424	-1.0	0	7.52289543472048	108.695992179863
1	94	3970	7457	0.25575	20x	dw	a647	0	404.765	16.826	57.056999999999995	27.715	3.122	179.93599999999998	-1.0	0	19.646606351676	108.36754643206301
1	21	4421	8778	0.25575	20x	dw	a647	13	129.877	80.961	54.083999999999996	27.066999999999997	1.429	160.328	19.487000000000002	0	144.483591982532	105.833822091887
1	121	2886	5255	0.25575	20x	dw	a647	0	527.0980000000001	400.345	52.963	26.323	1.4169999999999998	19.918	-1.0	0	11.8663801305982	102.924731182796
1	18	11165	21464	0.25575	20x	dw	a647	0	87.103	56.61600000000001	53.141000000000005	25.146	1.375	23.796999999999997	-1.0	0	20.5930158414952	98.32258064516131
1	7	8570	15948	0.25575	20x	dw	a647	69	65.791	250.273	55.004	24.991999999999997	1.459	9.551	20.625999999999998	0	7.724435090909281	97.72043010752691
1	89	10436	20499	0.25575	20x	dw	a647	60	380.217	202.923	53.071999999999996	24.875999999999998	1.2570000000000001	22.593000000000004	20.205	0	24.177934464997396	97.266862170088
1	89	10436	20499	0.25575	20x	dw	a647	0	345.735	200.17	53.114	24.819000000000003	1.2990000000000002	20.378	-1.0	0	22.6797799214617	97.04398826979471
1	124	5941	9644	0.25575	20x	dw	a647	83	554.896	339.152	54.898999999999994	24.421	1.4280000000000002	57.04600000000001	20.944000000000003	0	11.3193946885966	95.4877810361682
1	94	3970	7457	0.25575	20x	dw	a647	0	404.126	15.262	55.003	24.386999999999997	2.046	5.691	-1.0	0	4.5748629171338795	95.35483870967741
1	140	20763	33360	0.25575	20x	dw	a647	0	554.943	432.98400000000004	55.888000000000005	24.146	1.224	69.558	-1.0	0	61.3091032564948	94.41251221896391
1	44	5341	11140	0.25575	20x	dw	a647	66	117.965	214.987	55.98	23.912	1.268	64.737	18.724	0	38.172832517290004	93.4975562072336
1	79	7362	14370	0.25575	20x	dw	a647	54	280.053	186.207	53.111000000000004	23.842	1.3430000000000002	31.513	17.547	0	33.095256955314305	93.22385141739979
1	7	8570	15948	0.25575	20x	dw	a647	0	77.043	232.938	55.11	23.842	1.268	14.342	-1.0	0	11.5473732699524	93.22385141739979
