level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
0	0	1	94	3970	7457	1.0	20x	raw	a647	0	404.044	15.908	56.02	0.931	3.925	13.147	-1.0	0	6.448689344098389	0.931
2	2	1	94	3970	7457	1.0	20x	raw	a647	0	404.0	17.027	59.18	0.823	4.148	14.284	-1.0	0	9.76169987124517	0.823
3	3	1	111	5754	12212	1.0	20x	raw	a647	0	413.027	579.941	53.188	0.8079999999999999	2.8560000000000003	14.646	-1.0	0	15.489743543994901	0.8079999999999999
4	4	1	84	7434	14410	1.0	20x	raw	a647	11	320.987	49.98	55.004	0.613	1.729	14.993	1.658	0	10.577747489118199	0.613
5	5	1	7	8570	15948	1.0	20x	raw	a647	0	80.956	257.05400000000003	55.239	0.575	2.589	7.825	-1.0	0	6.9288690764148	0.575
6	6	1	121	2886	5255	1.0	20x	raw	a647	0	518.047	383.048	47.777	0.528	2.062	18.171	-1.0	0	22.8864226576724	0.528
8	8	1	7	8570	15948	1.0	20x	raw	a647	69	56.793	249.98	55.07100000000001	0.507	1.836	8.047	1.639	0	6.79745731200522	0.507
9	9	1	7	8570	15948	1.0	20x	raw	a647	0	79.832	257.058	52.856	0.495	2.406	6.081	-1.0	0	3.54424824236685	0.495
10	10	1	105	7011	15115	1.0	20x	raw	a647	38	414.13	123.983	53.987	0.494	2.166	18.892	1.564	0	15.293566967000801	0.494
11	11	1	111	5754	12212	1.0	20x	raw	a647	124	442.853	601.726	50.94600000000001	0.468	1.975	22.797	1.626	0	12.341724408457198	0.468
12	12	1	120	15858	22102	1.0	20x	raw	a647	83	513.0319999999998	370.86800000000005	52.24	0.453	2.263	25.551	1.5530000000000002	0	12.4533188718735	0.453
13	13	1	99	6084	10494	1.0	20x	raw	a647	100	364.77	406.918	53.938	0.45	1.7080000000000002	17.212	1.48	0	10.3766838624353	0.45
14	14	1	121	2886	5255	1.0	20x	raw	a647	0	526.989	400.156	54.173	0.448	2.4130000000000003	12.404000000000002	-1.0	0	9.01028493881818	0.448
16	16	1	124	5941	9644	1.0	20x	raw	a647	83	554.982	339.108	53.76300000000001	0.444	1.92	12.964	1.44	0	7.25509909450596	0.444
17	17	1	18	11165	21464	1.0	20x	raw	a647	13	77.047	60.945	55.252	0.438	2.974	13.061	1.5630000000000002	0	11.4685373219141	0.438
34	34	1	110	7916	11319	1.0	20x	raw	a647	0	429.101	572.0830000000002	55.103	0.373	2.0340000000000003	11.133	-1.0	0	13.278126872619	0.373
19	19	1	18	11165	21464	1.0	20x	raw	a647	13	82.79799999999999	77.045	56.101000000000006	0.422	2.23	7.551	1.4380000000000002	0	7.54242688697772	0.422
20	20	1	111	5754	12212	1.0	20x	raw	a647	0	430.1880000000001	591.2090000000002	53.054	0.412	2.093	16.570999999999998	-1.0	0	9.20182819423782	0.412
21	21	1	22	6235	10654	1.0	20x	raw	a647	13	145.108	92.009	54.834	0.407	2.044	11.818	1.3769999999999998	0	7.6081003339456705	0.407
