sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
1	94	3970	7457	1.0	20x	raw	a647	0	404.125	17.037	52.854	0.8390000000000001	3.766	14.446	-1.0	0	6.43889109483443	0.8390000000000001
1	84	7434	14410	1.0	20x	raw	a647	11	320.987	49.98	55.004	0.613	1.729	14.993	1.6580000000000001	0	10.577747489118199	0.613
1	105	7011	15115	1.0	20x	raw	a647	38	414.13	123.98299999999999	53.986999999999995	0.494	2.166	18.892	1.564	0	15.293566967000801	0.494
1	111	5754	12212	1.0	20x	raw	a647	124	442.853	601.726	50.946000000000005	0.46799999999999997	1.975	22.796999999999997	1.626	0	12.341724408457198	0.46799999999999997
1	121	2886	5255	1.0	20x	raw	a647	0	526.989	400.156	54.173	0.44799999999999995	2.4130000000000003	12.404000000000002	-1.0	0	9.01028493881818	0.44799999999999995
1	124	5941	9644	1.0	20x	raw	a647	83	554.939	339.106	56.192	0.444	2.177	13.880999999999998	1.386	0	6.255073479017019	0.444
1	18	11165	21464	1.0	20x	raw	a647	13	82.79799999999999	77.045	56.101000000000006	0.42200000000000004	2.23	7.551	1.4380000000000002	0	7.5424268869777205	0.42200000000000004
1	111	5754	12212	1.0	20x	raw	a647	0	430.18800000000005	591.2090000000001	53.053999999999995	0.41200000000000003	2.093	16.570999999999998	-1.0	0	9.20182819423782	0.41200000000000003
1	84	7434	14410	1.0	20x	raw	a647	11	311.099	22.863000000000003	54.181000000000004	0.39799999999999996	1.4709999999999999	32.228	1.5130000000000001	0	13.5066967100591	0.39799999999999996
1	121	2886	5255	1.0	20x	raw	a647	0	526.887	400.92	50.83	0.396	1.966	15.248	-1.0	0	11.6083581799417	0.396
1	116	6376	11709	1.0	20x	raw	a647	0	429.202	177.016	57.007	0.39	3.19	8.649	-1.0	0	5.5709306765446	0.39
1	18	11165	21464	1.0	20x	raw	a647	0	87.025	56.919	53.876000000000005	0.39	1.8769999999999998	11.067	-1.0	0	12.013697261771	0.39
1	6	4677	8732	1.0	20x	raw	a647	69	48.961999999999996	255.91299999999998	51.106	0.38799999999999996	1.6219999999999999	3.7239999999999998	1.429	0	4.9051422622777405	0.38799999999999996
1	21	4421	8778	1.0	20x	raw	a647	13	107.10799999999999	78.92399999999999	55.185	0.379	2.963	12.562000000000001	1.268	0	8.93810132461743	0.379
1	96	4008	9222	1.0	20x	raw	a647	0	340.957	426.13599999999997	53.998999999999995	0.37200000000000005	2.041	23.837	-1.0	0	12.7451488266204	0.37200000000000005
1	59	4563	10818	1.0	20x	raw	a647	103	219.02200000000002	408.04400000000004	55.275	0.37	2.106	8.734	1.425	0	6.41178325448361	0.37
1	18	11165	21464	1.0	20x	raw	a647	13	74.782	60.06100000000001	51.974	0.369	1.923	4.994	1.4709999999999999	0	5.05533050157157	0.369
1	7	8570	15948	1.0	20x	raw	a647	69	90.99799999999999	262.001	54.979	0.369	2.155	13.989	1.382	0	14.5173963880337	0.369
1	79	7362	14370	1.0	20x	raw	a647	0	299.019	204.118	51.977	0.36700000000000005	1.749	8.785	-1.0	0	6.84011269715108	0.36700000000000005
1	122	5016	7657	1.0	20x	raw	a647	0	510.907	339.93199999999996	48.945	0.36700000000000005	1.931	7.553	-1.0	0	7.26395861178497	0.36700000000000005
1	123	1679	2676	1.0	20x	raw	a647	83	546.9490000000001	339.961	55.273999999999994	0.36200000000000004	1.896	10.113999999999999	1.315	0	10.3496527130335	0.36200000000000004
1	100	6930	11930	1.0	20x	raw	a647	100	374.91	385.89	53.943999999999996	0.32899999999999996	2.485	9.062999999999999	1.3	0	7.11061678078739	0.32899999999999996
1	147	7146	12892	1.0	20x	raw	a647	93	597.033	371.07300000000004	50.17	0.325	1.88	12.173	1.348	0	5.36531396326262	0.325
1	84	7434	14410	1.0	20x	raw	a647	11	310.997	24.064	51.019	0.321	2.273	15.922	1.347	0	9.56821971681431	0.321
1	59	4563	10818	1.0	20x	raw	a647	103	218.985	407.958	51.857	0.319	1.8019999999999998	9.004	1.3769999999999998	0	7.097035159762489	0.319
1	7	8570	15948	1.0	20x	raw	a647	69	77.01	253.08599999999998	53.016999999999996	0.318	3.635	1.94	1.413	0	2.2158793850799	0.318
1	7	8570	15948	1.0	20x	raw	a647	69	77.012	253.11700000000002	50.923	0.318	3.125	3.5389999999999997	1.4369999999999998	0	3.5964075805924796	0.318
1	59	4563	10818	1.0	20x	raw	a647	0	227.91099999999997	400.19699999999995	55.105	0.315	1.986	15.18	-1.0	0	6.03346812857454	0.315
1	120	15858	22102	1.0	20x	raw	a647	83	513.0840000000001	372.00300000000004	49.018	0.314	2.9219999999999997	11.517999999999999	1.321	0	7.5723184736722	0.314
1	123	1679	2676	1.0	20x	raw	a647	83	546.967	340.00800000000004	52.718999999999994	0.314	1.8130000000000002	9.361	1.31	0	8.4374159364995	0.314
1	21	4421	8778	1.0	20x	raw	a647	0	129.026	78.07600000000001	54.145	0.313	3.963	14.523	-1.0	0	9.31630039187294	0.313
1	89	10436	20499	1.0	20x	raw	a647	0	345.904	200.19799999999998	53.052	0.313	1.579	7.401	-1.0	0	7.0298688454233895	0.313
1	62	6307	12284	1.0	20x	raw	a647	0	272.95599999999996	641.122	47.87	0.312	2.687	7.125	-1.0	0	5.540926317523639	0.312
1	119	5734	8814	1.0	20x	raw	a647	83	498.99199999999996	346.25	53.063	0.304	2.004	4.934	1.43	0	5.20955526369656	0.304
1	84	7434	14410	1.0	20x	raw	a647	11	328.01800000000003	42.07	55.978	0.302	1.9969999999999999	12.122	1.237	0	6.78042768144065	0.302
1	99	6084	10494	1.0	20x	raw	a647	100	361.792	399.952	54.974	0.299	2.029	4.408	1.416	0	3.8322449158748	0.299
1	63	6998	12637	1.0	20x	raw	a647	0	273.976	640.096	49.909	0.292	3.072	7.77	-1.0	0	3.7098277881618196	0.292
1	21	4421	8778	1.0	20x	raw	a647	0	115.861	89.956	55.824	0.29	2.332	7.065	-1.0	0	4.95054015426786	0.29
1	111	5754	12212	1.0	20x	raw	a647	124	422.07800000000003	585.192	51.898	0.289	2.222	6.27	1.266	0	3.5987938848585097	0.289
1	120	15858	22102	1.0	20x	raw	a647	83	526.068	370.94699999999995	51.018	0.289	1.857	13.18	1.285	0	13.1575763234855	0.289
1	111	5754	12212	1.0	20x	raw	a647	124	422.129	584.003	53.135	0.289	2.427	6.893	1.307	0	3.58428880173842	0.289
1	89	10436	20499	1.0	20x	raw	a647	0	362.839	184.013	53.146	0.28800000000000003	1.665	8.376	-1.0	0	7.546232010009731	0.28800000000000003
1	34	12042	22664	1.0	20x	raw	a647	0	99.09700000000001	367.066	50.836999999999996	0.28800000000000003	1.554	5.774	-1.0	0	5.09566140666713	0.28800000000000003
1	119	5734	8814	1.0	20x	raw	a647	83	497.983	343.86800000000005	53.126000000000005	0.287	2.266	4.394	1.357	0	4.7380872482044	0.287
1	7	8570	15948	1.0	20x	raw	a647	69	71.752	252.114	54.855	0.285	1.9509999999999998	2.838	1.3969999999999998	0	2.41353282008363	0.285
1	153	5264	9672	1.0	20x	raw	a647	0	609.065	449.87300000000005	51.135	0.284	2.104	12.537	-1.0	0	4.999832903188429	0.284
1	24	5597	9324	1.0	20x	raw	a647	13	124.12	138.084	54.138000000000005	0.28300000000000003	2.148	20.564	1.301	0	11.3760696810596	0.28300000000000003
1	2	4356	8129	1.0	20x	raw	a647	51	12.988	172.97299999999998	53.011	0.282	1.663	12.399000000000001	1.291	0	5.67877199694841	0.282
1	21	4421	8778	1.0	20x	raw	a647	13	117.921	78.047	53.218999999999994	0.281	0.998	7.5760000000000005	1.348	0	7.96329069169261	0.281
